Variable,Level,Total Count,Total Percentage,Train Count,Train Percentage,Test Count,Test Percentage,Val Count,Val Percentage,P-value
drugs,0,43389,86.78%,30382,86.81%,9075,86.59%,3909,86.96%,0.926
drugs,1,6611,13.22%,4618,13.19%,1405,13.41%,586,13.04%,0.926
gender,0,7165,14.33%,5036,14.39%,1488,14.2%,640,14.24%,0.965
gender,1,42835,85.67%,29964,85.61%,8992,85.8%,3855,85.76%,0.965
hemo,0,48326,96.65%,33859,96.74%,10094,96.32%,4351,96.8%,0.19
hemo,1,1674,3.35%,1141,3.26%,386,3.68%,144,3.2%,0.19
homo,0,17323,34.65%,12120,34.63%,3627,34.61%,1567,34.86%,0.991
homo,1,32677,65.35%,22880,65.37%,6853,65.39%,2928,65.14%,0.991
infected,0,34494,68.99%,24146,68.99%,7228,68.97%,3100,68.97%,1.0
infected,1,15506,31.01%,10854,31.01%,3252,31.03%,1395,31.03%,1.0
offtrt,0,32889,65.78%,23003,65.72%,6900,65.84%,2963,65.92%,0.992
offtrt,1,17111,34.22%,11997,34.28%,3580,34.16%,1532,34.08%,0.992
oprior,0,47885,95.77%,33485,95.67%,10063,96.02%,4314,95.97%,0.403
oprior,1,2115,4.23%,1515,4.33%,417,3.98%,181,4.03%,0.403
race,0,35335,70.67%,24727,70.65%,7413,70.73%,3177,70.68%,0.999
race,1,14665,29.33%,10273,29.35%,3067,29.27%,1318,29.32%,0.999
str2,0,21240,42.48%,14828,42.37%,4509,43.02%,1891,42.07%,0.621
str2,1,28760,57.52%,20172,57.63%,5971,56.98%,2604,57.93%,0.621
strat,1,21730,43.46%,15178,43.37%,4580,43.7%,1959,43.58%,0.509
strat,2,9719,19.44%,6737,19.25%,2094,19.98%,885,19.69%,0.509
strat,3,18551,37.1%,13085,37.39%,3806,36.32%,1651,36.73%,0.509
symptom,0,45827,91.65%,32054,91.58%,9620,91.79%,4128,91.84%,0.875
symptom,1,4173,8.35%,2946,8.42%,860,8.21%,367,8.16%,0.875
treat,0,13292,26.58%,9351,26.72%,2732,26.07%,1205,26.81%,0.602
treat,1,36708,73.42%,25649,73.28%,7748,73.93%,3290,73.19%,0.602
trt,0,18592,37.18%,13020,37.2%,3869,36.92%,1695,37.71%,0.91
trt,1,7089,14.18%,4947,14.13%,1475,14.07%,665,14.79%,0.91
trt,2,10806,21.61%,7597,21.71%,2261,21.57%,941,20.93%,0.91
trt,3,13513,27.03%,9436,26.96%,2875,27.43%,1194,26.56%,0.91
z30,0,17956,35.91%,12537,35.82%,3780,36.07%,1630,36.26%,0.923
z30,1,32044,64.09%,22463,64.18%,6700,63.93%,2865,63.74%,0.923
