Comparison,Metric,Quartile_Idx,Time,Mean Difference,CI,Bootstraps Used
CoxPH - DSM,Quartile AUC,Q1,496.0,6.702323713135061e-06,"(-0.0047, 0.0050)",2000
CoxPH - DeepCoxPH,Quartile AUC,Q1,496.0,-0.00633212519501927,"(-0.0109, -0.0019)",2000
DSM - DeepCoxPH,Quartile AUC,Q1,496.0,-0.006338827518732405,"(-0.0117, -0.0013)",2000
CoxPH - DSM,Quartile AUC,Q2,992.0,0.0018676214916338628,"(-0.0015, 0.0054)",2000
CoxPH - DeepCoxPH,Quartile AUC,Q2,992.0,-0.0026324818172945093,"(-0.0060, 0.0008)",2000
DSM - DeepCoxPH,Quartile AUC,Q2,992.0,-0.004500103308928372,"(-0.0084, -0.0004)",2000
CoxPH - DSM,Quartile AUC,Q3,1127.0,0.009623528809405766,"(0.0061, 0.0133)",2000
CoxPH - DeepCoxPH,Quartile AUC,Q3,1127.0,-0.005947710846344816,"(-0.0094, -0.0024)",2000
DSM - DeepCoxPH,Quartile AUC,Q3,1127.0,-0.015571239655750581,"(-0.0200, -0.0113)",2000
CoxPH - DSM,Integrated ROC-AUC,Global,,0.004655754429841416,"(0.0018, 0.0074)",2000
CoxPH - DSM,Global C-Index,Global,,0.001779330550405513,"(-0.0004, 0.0040)",2000
CoxPH - DeepCoxPH,Integrated ROC-AUC,Global,,-0.004776904207301222,"(-0.0078, -0.0017)",2000
CoxPH - DeepCoxPH,Global C-Index,Global,,-0.002374751937638247,"(-0.0048, 0.0002)",2000
DSM - DeepCoxPH,Integrated ROC-AUC,Global,,-0.009432658637142639,"(-0.0129, -0.0058)",2000
DSM - DeepCoxPH,Global C-Index,Global,,-0.00415408248804376,"(-0.0069, -0.0012)",2000
